2026-01-29 17:09:11,956 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8010
 * Running on http://192.168.0.129:8010
2026-01-29 17:09:11,956 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-29 17:12:47,167 | ERROR | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:12:47] code 400, message Bad request version ('À\x14À')
2026-01-29 17:12:47,167 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:12:47] "[35m[1m\x16\x03\x01\x00î\x01\x00\x00ê\x03\x03Vt°\x03$Ærâ\x8b½âx\x93=\x87·üØ\x10\x99\x9er\x16Ó\x9a\x86ü\x9d7X%* =W!X\x10\x8eÒ,Öï.Ä2[`÷:àØ\x8f\x1bV4W\x8d\x85óäñ)|2\x00&Ì¨Ì©À/À0À+À,À\x13À\x09À\x14À[0m" HTTPStatus.BAD_REQUEST -
2026-01-29 17:12:58,696 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET / ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:12:58,697 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:12:58] "GET / HTTP/1.1" 200 -
2026-01-29 17:13:01,098 | ERROR | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:01] code 505, message Invalid HTTP version (2.0)
2026-01-29 17:13:01,099 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:01] "[35m[1mPRI * HTTP/2.0[0m" HTTPStatus.HTTP_VERSION_NOT_SUPPORTED -
2026-01-29 17:13:01,395 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET /favicon.ico ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:13:01,408 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:01] "GET /favicon.ico HTTP/1.1" 200 -
2026-01-29 17:13:09,619 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET /res/webappicons/favicon-32.png ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:13:09,621 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:09] "GET /res/webappicons/favicon-32.png HTTP/1.1" 200 -
2026-01-29 17:13:10,722 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET /res/webappicons/favicon-16.png ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:13:10,724 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:10] "GET /res/webappicons/favicon-16.png HTTP/1.1" 200 -
2026-01-29 17:13:38,527 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET / ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:13:38,528 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:38] "GET / HTTP/1.1" 200 -
2026-01-29 17:13:52,732 | ERROR | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:52] code 400, message Bad request version ('À\x14À')
2026-01-29 17:13:52,732 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:52] "[35m[1m\x16\x03\x01\x00î\x01\x00\x00ê\x03\x03ø\x1f1\x85Ü±0\x08¦ú]C\\Y|U\x1b¬\x16\x87üëh)Ë\x06Ê/\x80\x89Ä® ZÎÈÐ¶\x14WaÓÝOÄ"m©\x8d\x83t3ëÁ\x09"\x97F*4\x07ç\x95àú\x00&Ì¨Ì©À/À0À+À,À\x13À\x09À\x14À[0m" HTTPStatus.BAD_REQUEST -
2026-01-29 17:13:56,632 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET /.well-known/security.txt ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:13:56,633 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:56] "GET /.well-known/security.txt HTTP/1.1" 200 -
2026-01-29 17:13:57,387 | ERROR | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:57] code 400, message Bad request version ('À\x14À')
2026-01-29 17:13:57,387 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:57] "[35m[1m\x16\x03\x01\x00î\x01\x00\x00ê\x03\x03\\÷\\\x0c\x9f£ë\x13\x0fsyÙ½Ð¨û\x1e6Äà N4\x98Só\x01åihðU <â!\x0dz¨;Z4Ù@\x7f\x878|8ué\x0bÃàð\x8bå5\x89^í\x9a'ç\x13\x00&Ì¨Ì©À/À0À+À,À\x13À\x09À\x14À[0m" HTTPStatus.BAD_REQUEST -
2026-01-29 17:13:57,670 | INFO | webapp | [REQ] ip=206.168.34.34 user=- GET /bcjjq7ceza5y ua=Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
2026-01-29 17:13:57,671 | INFO | werkzeug | 206.168.34.34 - - [29/Jan/2026 17:13:57] "[33mGET /bcjjq7ceza5y HTTP/1.1[0m" 404 -
2026-01-29 17:14:12,348 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 17:14:12,350 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 17:14:12] "GET / HTTP/1.1" 200 -
2026-01-29 17:14:12,405 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
